00000 0,25,22,34,20,32,29,37,22,32,31,37,31,36,34,38,28,37,34,39,32,38,35,40,34,39,37,40,36,39,37,40 0,30,30,31,30,31,31,32,30,31,31,32,31,32,32,33,30,31,31,32,31,32,32,33,31,32,32,33,32,33,33,34
00000 0,7,10,10,9,11,13,13,6,9,11,11,10,11,13,13,9,12,12,12,11,13,13,13,11,12,12,12,12,13,13,13 0,26,26,27,26,27,27,28,26,27,27,28,27,28,28,29,26,27,27,28,27,28,28,29,27,28,28,29,28,29,29,30
11111 0,13,10,15,11,17,16,17,7,17,14,17,12,17,16,17,9,14,14,16,15,17,17,17,13,17,16,17,15,17,17,17 0,6,6,7,6,7,7,8,6,7,7,8,7,8,8,9,6,7,7,8,7,8,8,9,7,8,8,9,8,9,9,10
00010 0,9,10,13,8,14,15,16,16,18,21,21,18,20,22,22,6,14,15,17,12,17,18,18,18,20,22,22,19,21,22,22 0,12,12,13,12,13,13,14,8,13,13,14,13,14,14,15,12,13,13,14,13,14,14,15,13,14,14,15,14,15,15,16
00000 0,10,13,17,12,19,19,22,14,22,20,23,18,25,22,25,15,22,21,23,20,24,24,25,21,26,25,26,23,27,26,27 0,52,52,53,52,53,53,54,52,53,53,54,53,54,54,55,52,53,53,54,53,54,54,55,53,54,54,55,54,55,55,56
00000 0,10,10,14,13,15,16,17,9,15,13,16,16,17,18,18,8,14,14,16,17,18,19,19,11,16,15,17,17,18,19,19 0,50,50,51,50,51,51,52,50,51,51,52,51,52,52,53,50,51,51,52,51,52,52,53,51,52,52,53,52,53,53,54
00000 0,22,23,35,23,33,35,41,20,33,30,40,30,37,36,41,22,31,36,41,34,38,43,44,33,38,40,43,39,41,44,44 0,28,28,29,28,29,29,30,28,29,29,30,29,30,30,31,28,29,29,30,29,30,30,31,29,30,30,31,30,31,31,32
00000 0,17,16,27,16,25,26,32,18,27,26,32,25,29,32,34,17,27,25,32,25,30,31,34,26,32,30,34,31,33,34,35 0,30,30,31,30,31,31,32,30,31,31,32,31,32,32,33,30,31,31,32,31,32,32,33,31,32,32,33,32,33,33,34
00000 0,5,4,6,8,9,9,10,3,7,6,8,8,9,9,10,8,11,10,11,11,12,11,12,8,11,10,11,11,12,11,12 0,56,56,57,56,57,57,58,56,57,57,58,57,58,58,59,56,57,57,58,57,58,58,59,57,58,58,59,58,59,59,60
11111 0,16,15,21,14,19,21,23,11,21,18,23,17,22,22,24,9,19,18,21,19,22,22,23,15,22,20,23,20,23,23,24 0,8,8,9,8,9,9,10,8,9,9,10,9,10,10,11,8,9,9,10,9,10,10,11,9,10,10,11,10,11,11,12
00000 0,20,20,29,23,31,30,35,25,31,32,34,34,36,37,38,20,29,28,32,35,37,35,37,31,36,34,36,38,39,38,39 0,32,32,33,32,33,33,34,32,33,33,34,33,34,34,35,32,33,33,34,33,34,34,35,33,34,34,35,34,35,35,36
00000 0,8,10,10,6,10,10,10,9,11,12,12,11,12,12,12,9,10,11,11,10,11,11,11,12,12,12,12,12,12,12,12 0,50,50,51,50,51,51,52,50,51,51,52,51,52,52,53,50,51,51,52,51,52,52,53,51,52,52,53,52,53,53,54
00000 0,19,21,29,19,26,29,32,21,30,32,34,29,33,34,35,19,31,27,33,29,34,34,36,29,36,34,36,33,37,36,37 0,48,48,49,48,49,49,50,48,49,49,50,49,50,50,51,48,49,49,50,49,50,50,51,49,50,50,51,50,51,51,52
00000 0,22,19,33,26,37,32,41,22,31,32,37,36,40,40,43,16,29,30,38,33,40,39,44,29,34,37,39,38,41,42,44 0,52,52,53,52,53,53,54,52,53,53,54,53,54,54,55,52,53,53,54,53,54,54,55,53,54,54,55,54,55,55,56
00000 0,19,19,29,17,27,26,32,18,28,29,34,31,34,35,36,21,29,28,32,26,32,29,33,32,34,34,35,35,36,35,36 0,28,28,29,28,29,29,30,28,29,29,30,29,30,30,31,28,29,29,30,29,30,30,31,29,30,30,31,30,31,31,32
00000 0,2,5,5,3,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5 0,36,36,37,36,37,37,38,36,37,37,38,37,38,38,39,36,37,37,38,37,38,38,39,37,38,38,39,38,39,39,40
00000 0,24,19,34,20,32,28,37,29,37,36,40,37,41,40,42,18,33,29,39,29,38,33,40,32,38,37,41,38,41,40,42 0,56,56,57,56,57,57,58,56,57,57,58,57,58,58,59,56,57,57,58,57,58,58,59,57,58,58,59,58,59,59,60
00000 0,4,6,8,5,7,8,9,4,7,6,8,7,9,8,9,5,5,8,8,7,7,9,9,8,8,8,8,9,9,9,9 0,46,46,47,46,47,47,48,46,47,47,48,47,48,48,49,46,47,47,48,47,48,48,49,47,48,48,49,48,49,49,50
00000 0,7,6,10,8,10,9,11,8,11,11,13,11,12,12,13,7,10,9,11,8,10,9,11,10,12,12,13,11,12,12,13 0,12,12,13,12,13,13,14,12,13,13,14,13,14,14,15,12,13,13,14,13,14,14,15,13,14,14,15,14,15,15,16
00000 0,6,5,9,6,10,8,11,5,9,8,11,11,13,11,13,9,13,10,13,11,13,11,13,11,14,12,14,13,14,13,14 0,34,34,35,29,35,35,36,29,35,35,36,35,36,36,37,34,35,35,36,35,36,36,37,35,36,36,37,36,37,37,38
00000 0,17,13,22,16,21,22,24,17,24,21,26,22,25,25,27,15,24,21,25,19,24,23,25,22,27,25,28,24,27,26,28 0,48,48,49,48,49,49,50,48,49,49,50,49,50,50,51,48,49,49,50,49,50,50,51,49,50,50,51,50,51,51,52
