chat_allowed	tut=None;chat=13:LineCover;line=Bottom	true
chat_allowed	tut=None;chat=13:LineCover;line=Top	true
chat_allowed	tut=None;chat=14:DefenseLine;line=Mid	true
chat_allowed	tut=None;chat=14:DefenseLine;line=Bottom	true
chat_allowed	tut=None;chat=14:DefenseLine;line=Top	true
chat_allowed	tut=None;chat=15:Ok	true
chat_allowed	tut=None;chat=16:Reject	true
chat_allowed	tut=None;chat=17:Cancel;r=LowHpSelf	true
chat_allowed	tut=None;chat=17:Cancel;r=LowHpAlly	true
chat_allowed	tut=None;chat=17:Cancel;r=TargetMissing	true
chat_allowed	tut=None;chat=17:Cancel;r=PlanChange	true
chat_allowed	tut=None;chat=17:Cancel;r=OperationAbort	true
chat_allowed	tut=None;chat=18:CounterJungle;camp=Rhino	true
chat_allowed	tut=None;chat=18:CounterJungle;camp=Mushroom	true
chat_allowed	tut=None;chat=18:CounterJungle;camp=Stump	true
chat_allowed	tut=None;chat=18:CounterJungle;camp=Bee	true
chat_allowed	tut=None;chat=18:CounterJungle;camp=Morgard	true
chat_allowed	tut=None;chat=18:CounterJungle;camp=Serpen	true
chat_allowed	tut=None;chat=19:Lead	true
chat_allowed	tut=None;chat=20:Split;line=Mid	true
chat_allowed	tut=None;chat=20:Split;line=Bottom	true
chat_allowed	tut=None;chat=20:Split;line=Top	true
chat_allowed	tut=None;chat=21:Press;line=Mid	true
chat_allowed	tut=None;chat=21:Press;line=Bottom	true
chat_allowed	tut=None;chat=21:Press;line=Top	true
chat_allowed	tut=None;chat=22:PressChange;line=Mid	true
chat_allowed	tut=None;chat=22:PressChange;line=Bottom	true
chat_allowed	tut=None;chat=22:PressChange;line=Top	true
chat_allowed	tut=None;chat=23:Repair	true
chat_allowed	tut=None;chat=24:SerpenPrepare	true
chat_allowed	tut=None;chat=25:SerpenSetup	true
chat_allowed	tut=None;chat=26:SerpenCheck	true
chat_allowed	tut=None;chat=27:SerpenEnemyHunt	true
chat_allowed	tut=None;chat=28:SerpenAssemble	true
chat_allowed	tut=None;chat=29:SerpenHunt	true
chat_allowed	tut=None;chat=30:SerpenBattle	true
chat_allowed	tut=None;chat=31:SerpenGiveUp;r=StackAhead	true
chat_allowed	tut=None;chat=31:SerpenGiveUp;r=Outnumbered	true
chat_allowed	tut=None;chat=32:SerpenSteal;k=Lurk	true
chat_allowed	tut=None;chat=32:SerpenSteal;k=Commit	true
chat_allowed	tut=None;chat=33:MorgardPrepare	true
chat_allowed	tut=None;chat=34:MorgardSetup	true
chat_allowed	tut=None;chat=35:MorgardCheck	true
chat_allowed	tut=None;chat=36:MorgardEnemyHunt	true
chat_allowed	tut=None;chat=37:MorgardAssemble	true
chat_allowed	tut=None;chat=38:MorgardHunt	true
chat_allowed	tut=None;chat=39:MorgardBattle	true
chat_allowed	tut=None;chat=40:MorgardGiveUp	true
