
===== specs[0] ult =====
  mem[0 ] PlayerState(=GamePlayer in 0x930    dir=r 관측=['load']               OK
  mem[1 ] PlayerState(=GamePlayer in 0x9c0    dir=r 관측=['load']               OK
  mem[26] SubPlan(sret)              0x11     dir=w 관측=['store']              OK
  mem[27] SubPlan(sret)              0x12     dir=w 관측=['store']              OK

===== specs[8] is_end =====
  mem[0 ] TeamPlan                   0x41f    dir=r 관측=['load']               OK
  mem[1 ] TeamPlan                   0x420    dir=r 관측=['load']               OK
  mem[2 ] PlayerState                0x930    dir=r 관측=['load']               OK
  mem[3 ] OperationData              0x0      dir=r 관측=['load', 'store']      OK
  mem[4 ] OperationData              0x8      dir=r 관측=['addr', 'load', 'store'] OK
  mem[5 ] OperationData              0x10     dir=r 관측=['load', 'store']      OK
  mem[6 ] GameContext                0x8      dir=r 관측=['addr', 'load', 'store'] OK
  mem[7 ] GameContext                0x20     dir=r 관측=['load', 'store']      OK
  mem[8 ] GameSetting                0x12f8   dir=r 관측=['load']               OK
  mem[9 ] AbstractGameWithCache      0x0      dir=r 관측=['load', 'store']      OK
  mem[10] AbstractGameWithCache      0x8      dir=r 관측=['addr', 'load', 'store'] OK
  mem[11] AbstractGameWithCache      0x1e0    dir=r 관측=[]                     (판정보류: 그 오프셋 gep 미검출)
  mem[12] AbstractGame::vtable       0x28     dir=r 관측=['load', 'store']      OK
  mem[13] AbstractGame::vtable       0x40     dir=r 관측=['load']               OK
  mem[14] AbstractGame::vtable       0x100    dir=r 관측=['load']               OK
  mem[15] AbstractGame::vtable       0x1f0    dir=r 관측=['load']               OK
  mem[16] MobaMode                   0x1a0    dir=r 관측=['load']               OK
  mem[17] MobaMode                   0x1a8    dir=r 관측=['load']               OK
  mem[18] MobaMode                   0x1b0    dir=r 관측=['load']               OK
  mem[19] Entity                     0x660    dir=r 관측=['load']               OK
  mem[20] Entity                     0x668    dir=r 관측=['load']               OK

===== specs[9] check_favorable_engage_formation =====
  mem[0 ] PlayerState(GamePlayer)    0x930    dir=r 관측=['load']               OK
  mem[1 ] PlayerState(GamePlayer)    0x9c0    dir=r 관측=['load']               OK
  mem[2 ] OperationData              0x0      dir=r 관측=['load']               OK
  mem[3 ] OperationData              0x8      dir=r 관측=['load']               OK
  mem[4 ] AbstractGameWithCache      0x1e0    dir=r 관측=['load']               OK
  mem[5 ] GameContext                0x8      dir=r 관측=['load']               OK
  mem[6 ] GameContext                0x20     dir=r 관측=['load']               OK
  mem[7 ] GameSetting                0x12f8   dir=r 관측=['load']               OK
  mem[8 ] MapDef                     0x6d70   dir=r 관측=['load']               OK
  mem[9 ] Entity                     0x5c0    dir=r 관측=['load']               OK
  mem[10] Entity                     0x628    dir=r 관측=['load']               OK
  mem[11] Entity                     0x660    dir=r 관측=['load']               OK
  mem[12] Entity                     0x668    dir=r 관측=['load']               OK
  mem[13] Entity                     0x670    dir=r 관측=['load']               OK

===== specs[10] should_end_object_finish_kill_priority_battle =====
  mem[0 ] MainObjective(인자 %4, i24)  0x0      dir=r 관측=['load']               OK
  mem[1 ] MainObjective(인자 %4, i24)  0x1      dir=r 관측=[]                     (판정보류: 그 오프셋 gep 미검출)
  mem[2 ] MainObjective(인자 %4, i24)  0x2      dir=r 관측=[]                     (판정보류: 그 오프셋 gep 미검출)
  mem[3 ] Strategy(PlayerState::stra 0xf      dir=r 관측=['load']               OK
  mem[4 ] PlayerState                0x930    dir=r 관측=['load']               OK
  mem[5 ] OperationData              0x0      dir=r 관측=['load']               OK
  mem[6 ] OperationData              0x10     dir=r 관측=['load']               OK
  mem[7 ] AbstractGameWithCache      0x0      dir=r 관측=['load']               OK
  mem[8 ] AbstractGameWithCache      0x8      dir=r 관측=['load']               OK
  mem[9 ] AbstractGameWithCache      0x1e0    dir=r 관측=['load']               OK
  mem[10] AbstractGame vtable        0x40     dir=r 관측=['load']               OK
  mem[11] AbstractGame vtable        0x1f0    dir=r 관측=['load']               OK
  mem[12] MobaMode                   0x198    dir=r 관측=[]                     (판정보류: 그 오프셋 gep 미검출)
  mem[13] MobaMode                   0x1a0    dir=r 관측=[]                     (판정보류: 그 오프셋 gep 미검출)
  mem[14] MobaMode                   0x1a8    dir=r 관측=['load']               OK
  mem[15] MobaMode                   0x1c8    dir=r 관측=[]                     (판정보류: 그 오프셋 gep 미검출)
  mem[16] MobaMode                   0x1d0    dir=r 관측=[]                     (판정보류: 그 오프셋 gep 미검출)
  mem[17] MobaMode                   0x1d8    dir=r 관측=['load']               OK
  mem[18] Entity(적 챔피언)              0x0      dir=r 관측=['load']               OK
  mem[19] Entity(적 챔피언)              0x8      dir=r 관측=['load']               OK
  mem[20] Entity(적 챔피언)              0x660    dir=r 관측=['load']               OK
  mem[21] Entity(적 챔피언)              0x668    dir=r 관측=['load']               OK

===== specs[11] v3_fall_back_to_passive =====
  mem[0 ] OperationData              0x0      dir=r 관측=['load', 'store']      OK
  mem[1 ] OperationData              0x8      dir=r 관측=['load', 'store']      OK
  mem[2 ] AbstractGameWithCache      0x0      dir=r 관측=['load', 'store']      OK
  mem[3 ] AbstractGameWithCache      0x8      dir=r 관측=['load', 'store']      OK
  mem[4 ] dyn AbstractGame vtable    0x40     dir=r 관측=['load']               OK
  mem[5 ] dyn AbstractGame vtable    0x28     dir=r 관측=['load']               OK
  mem[6 ] GameContext                0x38     dir=r 관측=['load']               OK
  mem[7 ] BigGoal                    0x0      dir=r 관측=['load', 'store']      OK
  mem[8 ] BigGoal                    0x1      dir=r 관측=['load']               OK
  mem[9 ] LegacyPlanHandler          0x0      dir=r 관측=['load', 'store']      OK
  mem[10] LegacyPlanHandler          0xf8     dir=r 관측=['addr']               OK
  mem[11] LegacyPlanHandler          0x990    dir=r 관측=['addr']               OK
  mem[12] LegacyPlanHandler          0x5e8    dir=r 관측=['addr']               OK
  mem[13] LegacyPlanHandler          0x1628   dir=r 관측=['load', 'store']      OK
  mem[14] BigPlan(지역변수 plan, 384B)   0x0      dir=w 관측=['load', 'store']      OK
  mem[15] BigPlan(지역변수 plan)         0x8      dir=w 관측=['load', 'store']      OK
  mem[16] BigPlan(지역변수 plan)         0x20     dir=w 관측=['store']              OK
  mem[17] BigPlan(지역변수 plan)         0x21     dir=w 관측=['store']              OK
  mem[18] LegacyPlanHandler          0x1610   dir=w 관측=['store']              OK
  mem[19] LegacyPlanHandler          0x1618   dir=w 관측=['store']              OK
  mem[20] LegacyPlanHandler          0x1628   dir=w 관측=['load', 'store']      OK
  mem[21] LegacyPlanHandler          0x5e8    dir=w 관측=['addr']               (판정보류: addr 만)
  mem[22] LegacyPlanHandler          0x768    dir=w 관측=['addr']               (판정보류: addr 만)

===== specs[12] handle_chat =====
  mem[0 ] PlayerState                0x9c0    dir=r 관측=['load']               OK
  mem[1 ] OperationData              0x0      dir=r 관측=['load', 'store']      OK
  mem[2 ] OperationData              0x8      dir=r 관측=['addr', 'load', 'store'] OK
  mem[3 ] GameContext                0x38     dir=r 관측=['addr', 'load']       OK
  mem[4 ] GameContext                0x39     dir=r 관측=['load']               OK
  mem[5 ] AbstractGameWithCache      0x8      dir=r 관측=['addr', 'load', 'store'] OK
  mem[6 ] AbstractGame vtable        0x28     dir=r 관측=['load']               OK
  mem[7 ] LegacyPlanHandler          0x5e8    dir=r 관측=['addr']               OK
  mem[8 ] LegacyPlanHandler          0x517    dir=r 관측=[]                     (판정보류: 그 오프셋 gep 미검출)
  mem[9 ] LegacyPlanHandler          0x858    dir=r 관측=['addr', 'load']       OK
  mem[10] LegacyPlanHandler          0x860    dir=r 관측=['load']               OK
  mem[11] LegacyPlanHandler          0x868    dir=r 관측=['load', 'store']      OK
  mem[12] LegacyPlanHandler          0x868    dir=w 관측=['load', 'store']      OK
